,ADANIENT,ADANIPORTS,APOLLOHOSP,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJAJFINSV,BAJFINANCE,BEL,BHARTIARTL,BPCL,BRITANNIA,CIPLA,COALINDIA,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,ICICIBANK,INDUSINDBK,INFY,ITC,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NESTLEIND,NTPC,ONGC,POWERGRID,RELIANCE,SBILIFE,SBIN,SHRIRAMFIN,SUNPHARMA,TATACONSUM,TATAMOTORS,TATASTEEL,TCS,TECHM,TITAN,TRENT,ULTRACEMCO,WIPRO
ADANIENT,1.0,0.8742327718906922,0.13650102811323397,0.2915825013322293,0.29773589538619555,0.2018713827275942,0.35654728196026436,0.3360313317631641,0.5226803439273445,0.2828588856679531,0.45528917443931105,0.13065452751712736,0.09423833987571031,0.49453393923651795,0.16455213475025532,0.33164697118309283,0.34446791320876796,0.13991584818529543,0.33811803466909623,0.21683936983717594,0.20857649616245805,0.3049663395211938,-0.0007956567569890336,0.3945843733469138,0.39134697585260536,0.1151490132008911,0.2458028586259034,0.40566412739227775,0.24375207896029524,0.4831361669543136,0.3045447926385933,0.31565893828886393,0.11501655149208942,0.5459596333932084,0.4849098585045118,0.4039462756861802,0.48709678829663877,0.2891926637601976,0.5446973988449255,0.4102982543331034,0.16625555123449853,0.20384725008722163,0.3240711368540584,0.4235630087690204,0.11579045507499162,0.14167733642876768,0.28328071027247675,0.19041163423274673,0.3611521740873146,0.22400300357869157
ADANIPORTS,0.8742327718906922,1.0,0.16890218696579673,0.2740447644421619,0.38051441375563605,0.20445588201234385,0.3980409902991861,0.3987688092406956,0.5856717101385667,0.31653678948863245,0.4951165145628619,0.13339957142274125,0.09111765627994348,0.5462015362250399,0.16097227508658982,0.2696101621425376,0.3561018510820143,0.15263950984390606,0.3753048989812308,0.24705928318329237,0.20251187920765518,0.33776150800328864,0.002375597680073499,0.44228876077180634,0.4224310250507616,0.14939963769592102,0.2737742060398364,0.4346056333880308,0.3058384052939919,0.5139742464591516,0.31938111017856874,0.30234181062017373,0.08784346363558944,0.6104642922480006,0.5218032460309534,0.5116959571605549,0.5127359236075946,0.28461312511245185,0.579515887444585,0.46989037529577304,0.2158557940043052,0.22065499778075612,0.33924128192542985,0.46604258720999453,0.13242270962039474,0.14803390244205863,0.2961483418084938,0.20107648053316038,0.4024886309461049,0.23898560924883147
APOLLOHOSP,0.13650102811323397,0.16890218696579673,1.0,0.2580550091044096,0.1793812902809024,0.22389982865179275,0.24939202484899445,0.223142114093944,0.22459395037896862,0.23681039201162205,0.1749731116037148,0.2317356789069558,0.23111419982026138,0.24353676765517565,0.2354479973306277,0.2903387309533501,0.258183900052624,0.27918102640548,0.11023752261978258,0.1416693251268474,0.24815300033560925,0.0625473779803071,0.10786527206672766,0.16430302282408987,0.12915176060937117,0.12167130146685298,0.1740457448901118,0.27605978619516347,0.13979523467214766,0.23588316565172254,0.25102858599079875,0.19406246723276557,0.2244460291731679,0.19412871147539487,0.1736580399945663,0.17843781593489988,0.2347277056851401,0.16070603440418743,0.1828501325830731,0.2917677029475651,0.2862267006851859,0.096699678542963,0.21235742708711508,0.25473089550031014,0.1068460170305316,0.16911799216785398,0.2533612455922524,0.08951570956025826,0.2729509090857476,0.2237380831811699
ASIANPAINT,0.2915825013322293,0.2740447644421619,0.2580550091044096,1.0,0.12605495412838913,0.16765031840915767,0.2480895089244289,0.29692231689418414,0.15695299268952667,0.14695328748843992,0.2157870430370839,0.42689645037132845,0.14701800416538524,0.19498635297901867,0.14996097261207375,0.25791414980589167,0.34445261938387256,0.11748352916689656,0.26432298479719046,0.20602238440023707,0.1801867818401592,0.21225208678156796,0.2698886400210458,0.15883876844346126,0.18085496714967206,0.10430989690679814,0.27555039963027667,0.33356619668119664,0.18120213777506164,0.22310100721080928,0.1401207308761811,0.26036616156082815,0.2826313147898836,0.2220637061399649,0.12865361589102497,0.11166498193260861,0.29496314792607853,0.22035222755305742,0.10786553634810252,0.2025399141372579,0.20226174833853694,0.24427831720571966,0.10584721830751244,0.2870503112737258,0.16669854297765385,0.16295888852087534,0.3074044630485633,0.2230941660957296,0.28064729044156406,0.14064240159229244
AXISBANK,0.29773589538619555,0.38051441375563605,0.1793812902809024,0.12605495412838913,1.0,0.19847726811746533,0.39368303158577117,0.35407906457630023,0.33051247245372484,0.2386016975822221,0.22293609594640457,0.13077533096250715,0.08525963060396051,0.33255272516175144,0.09146149968460622,0.2861612260064072,0.36705276889624344,0.10749568588042561,0.42493057844684556,0.25147867968575494,0.1725822614323336,0.22737454783495714,0.009843145897469005,0.6367860712450544,0.33966104800646485,0.08646718438208449,0.27500064934151214,0.3659663237514709,0.2920391919103795,0.3520807556299017,0.2355560287307913,0.2603712445873796,0.10034446073619788,0.3948134609675543,0.31344947827043435,0.294692628398174,0.42345648695274773,0.18305336272358966,0.5161224530316103,0.44856441977753825,0.14399116186911057,0.1397468760601615,0.23214517169866175,0.37095708164183383,0.0946685266965614,0.1364691783195106,0.14593141014981456,0.19974789949861588,0.3970237616996549,0.20780225668871427
BAJAJ-AUTO,0.2018713827275942,0.20445588201234385,0.22389982865179275,0.16765031840915767,0.19847726811746533,1.0,0.23765422527427105,0.17855355039207552,0.23342951573397247,0.26205443101372006,0.21553089516939256,0.09470688126432453,0.04353632458552275,0.225769933155767,0.1048900615339811,0.27613010745461614,0.2006611069523685,0.12451594805403986,0.1822326625269816,0.19190170740372323,0.4068006967052391,0.21686021726845914,0.12495520284345998,0.10852224778301449,0.20611752897820393,-0.0034872383004443987,0.14041332240898494,0.22346056490339763,0.08262777274474209,0.17576285397902433,0.27162767362712065,0.3420054021668423,0.17900471577742583,0.20255979200490437,0.1878708958366479,0.16836442536932567,0.2469613290708274,0.19021110505454747,0.15485382685813512,0.3011416075976083,0.1499568504484307,0.1851350828121931,0.294698277500844,0.2836905519549172,0.017590812364384093,0.037877025808404886,0.20105970208514465,0.22339932769929818,0.26334151930303756,0.10249225299600981
BAJAJFINSV,0.35654728196026436,0.3980409902991861,0.24939202484899445,0.2480895089244289,0.39368303158577117,0.23765422527427105,1.0,0.7487227478618119,0.3462608024731707,0.2576637600359031,0.3452858837599202,0.22547755496666103,0.13592832671322808,0.27973864895104394,0.2577564916617612,0.2413557153873387,0.4350985039815248,0.26782642256031913,0.3187053884007639,0.34735050469943846,0.23621133941250186,0.29624170160014573,0.13945401694298298,0.41541877646453335,0.42296026356210936,0.24134770192708113,0.30363592271009415,0.44752583139088487,0.2731039751871352,0.3989924119426429,0.3376841895934924,0.32927555061094294,0.2737449871748948,0.39122550744968687,0.3057365564941464,0.3070340339723172,0.4072007302530863,0.4057174140421663,0.41985865031145836,0.46879071013864454,0.213243267518819,0.3044968379064375,0.28016899304461806,0.4565703359871316,0.2348415286667764,0.2042760675568545,0.3295268898746543,0.2011333559796427,0.46310659739899224,0.3066495143438878
BAJFINANCE,0.3360313317631641,0.3987688092406956,0.223142114093944,0.29692231689418414,0.35407906457630023,0.17855355039207552,0.7487227478618119,1.0,0.31582182849130636,0.2916412273413865,0.2726077448987997,0.20793572741340904,0.053728416249761435,0.2802464284976224,0.08830834706220486,0.1895783026920611,0.3689801356272415,0.18318710876005104,0.3316323063963939,0.3071010890830492,0.17123927720211993,0.2545385705775563,0.127433323506749,0.35000757601999377,0.4062664984286061,0.1974462437124762,0.30440358287275265,0.39093433598758565,0.315904194544074,0.3789189931383417,0.2679731846701756,0.28124404371038425,0.24697473503701836,0.32826019804141093,0.31629740550245333,0.24510084205888233,0.41334172764902644,0.335100937267961,0.39769633642397356,0.4616176412939546,0.13726193957843952,0.23636949321363698,0.21274826620313564,0.3816158260831061,0.17442474436881075,0.17336015861682663,0.2690388885654182,0.2291884576301165,0.43455823502959556,0.2385161788096081
BEL,0.5226803439273445,0.5856717101385667,0.22459395037896862,0.15695299268952667,0.33051247245372484,0.23342951573397247,0.3462608024731707,0.31582182849130636,1.0,0.3092944172492831,0.5058022998638141,0.07318681689648109,0.08240447720412877,0.6202616180735312,0.13147474167679138,0.28422283427027845,0.33792521416902865,0.22404080222481787,0.33075150026978845,0.2513021584213301,0.08777086588217861,0.37587137589042985,-0.058290965768311,0.3137347901782477,0.3086074944199182,0.16470542530909557,0.2301950077706419,0.4587833717218399,0.266513702493666,0.5914014227519674,0.36949762406352044,0.2246422837268991,0.06531680419809151,0.607886402882183,0.5723767986317229,0.5447558899699269,0.49250685924445414,0.20993910373733968,0.5802134538500828,0.47548008008820714,0.16353067159456544,0.17580872844609702,0.3671733408603183,0.5203646257642723,0.12075804541099913,0.22239481016575469,0.16676677160419995,0.26341500708955246,0.43550141959102606,0.2558540800203393
BHARTIARTL,0.2828588856679531,0.31653678948863245,0.23681039201162205,0.14695328748843992,0.2386016975822221,0.26205443101372006,0.2576637600359031,0.2916412273413865,0.3092944172492831,1.0,0.2650199796002171,0.12122592780048837,0.11996289410969121,0.2670370815406414,0.17809431030362347,0.2947335761302531,0.2971920079441291,0.2584367995257953,0.21102824534153175,0.21503195908791412,0.18391083276731263,0.29414928424467274,0.15853115551028493,0.3666095767942784,0.23163899240921432,0.28884601431215595,0.26051545813380483,0.36482968466234794,0.3189908649455067,0.3239434796463674,0.2919226925527728,0.3480794838446675,0.1060858205561435,0.36618679536727483,0.34641140970960943,0.3112279801484063,0.3659946828398583,0.2417230638954148,0.290364140540602,0.3607986754842975,0.27222667665739547,0.24873195165373588,0.26933117865011125,0.30535156427306953,0.19318275580109218,0.2723520791644865,0.27603700839023804,0.24792743014681906,0.35412077020875876,0.25913138188953433
